generated_at_jst,catalog_row_id,source,title,offer_type,price,amount_usd,one_sale_to_100,primary_url,best_buyer_action_url,best_buyer_action_label,structured_form_url,inquiry_url,order_board_url,repo_url,payment_activation_url,proof_monitor_url,terms_url,terms_csv_url,exact_acceptance_statement,proof_rule,money_confirmed_usd,buyer_gate,next_user_step,source_evidence
2026-06-16 00:08:52 JST,hot-download-local-seo-gbp-audit-starter,observed_download_close,Local SEO GBP Audit Starter,service,$175,175.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/hot-download-close-local-seo-gbp-audit-starter.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open hot-route structured form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/inquiry.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.csv,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Buyer confirms the business URL/profile, target market, fixed scope, delivery format, and a $175 payment route before custom analysis starts.","Treat the download as interest only. If a real buyer appears, use this hot-route structured form, collect external payment proof, then deliver.",hot_download_close_rooms.csv observed download_count=1
2026-06-16 00:08:52 JST,hot-download-pdf-table-extraction-starter,observed_download_close,PDF Table Extraction Starter,service,$125,125.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/hot-download-close-pdf-table-extraction-starter.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,Open hot-route structured form,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://jaxassistant55.github.io/pdf-table-extraction-starter/inquiry.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,https://github.com/jaxassistant55/pdf-table-extraction-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction-terms.csv,"I accept the PDF/Table Extraction fixed-scope terms at $125. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-owned/buyer-authorized non-sensitive documents through an approved channel; the deliverable is limited to extracted CSV/XLSX output, ambiguity notes, and a repeatable extraction checklist for the accepted sample; and confidential regulated data handling, OCR of large batches, custom software implementation, credential/account access, ongoing support, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Buyer confirms file rights, table scope, output columns, deadline, and a $125 payment route before extraction starts.","Treat the download as interest only. If a real buyer appears, use this hot-route structured form, collect external payment proof, then deliver.",hot_download_close_rooms.csv observed download_count=1
2026-06-16 00:08:52 JST,central-first-100-fast-start,central_order_board,First $100 Fast Start,service,$100,100.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml,https://jaxassistant55.github.io/jax-micro-offer-studio/inquiry.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/24,https://github.com/jaxassistant55/jax-micro-offer-studio,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start-terms.csv,"I accept the First $100 Fast Start fixed-scope terms at $100. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive inputs; the selected starter scope is limited to the deliverable described on the First $100 Fast Start page; and custom implementation, account login work, credential handling, regulated advice, paid ads, purchasing, ongoing support, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","If a buyer appears, open the best buyer action URL, confirm safe scope, route payment externally, deliver after proof, and record only verified money.",order_boards.csv plus structured_ready_forms.csv
2026-06-16 00:08:52 JST,central-static-demo-site-customization,central_order_board,Static Demo Site Customization,service,$200,200.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://jaxassistant55.github.io/static-service-site-starter/inquiry.html,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://github.com/jaxassistant55/static-service-site-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,"","","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","If a buyer appears, open the best buyer action URL, confirm safe scope, route payment externally, deliver after proof, and record only verified money.",order_boards.csv plus structured_ready_forms.csv
2026-06-16 00:08:52 JST,standalone-static-service-site-starter,standalone_repo_ready_form,Static Service Site Starter,service,$200,200.0,yes,https://jaxassistant55.github.io/static-service-site-starter/,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/static-service-site-starter/issues/new?template=ready-to-pay-static-service-site-starter.yml,https://jaxassistant55.github.io/static-service-site-starter/inquiry.html,https://github.com/jaxassistant55/static-service-site-starter/issues/1,https://github.com/jaxassistant55/static-service-site-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,"","","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.",Use the structured form as intake only; move payment to a seller-owned route before any custom delivery.,structured_ready_forms.csv
2026-06-16 00:08:52 JST,central-local-seo-gbp-audit,central_order_board,Local SEO / GBP Audit,service,$175,175.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/inquiry.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.csv,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","If a buyer appears, open the best buyer action URL, confirm safe scope, route payment externally, deliver after proof, and record only verified money.",order_boards.csv plus structured_ready_forms.csv
2026-06-16 00:08:52 JST,standalone-local-seo-gbp-audit-starter,standalone_repo_ready_form,Local SEO GBP Audit Starter,service,$175,175.0,yes,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,Open repo-specific structured form,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/inquiry.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://github.com/jaxassistant55/local-seo-gbp-audit-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.html,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit-terms.csv,"I accept the Local SEO / GBP Audit fixed-scope terms at $175. I understand work starts only after seller-owned external payment proof exists; I will provide only public or buyer-authorized non-sensitive business details; the audit is limited to public website/profile review, category/citation/review/landing-page observations, and a prioritized action checklist; and Google account login work, profile claiming/verification, fake reviews, paid ads, legal advice, publishing edits, ongoing SEO, or extra revisions are not included unless separately agreed before payment.","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.",Use the structured form as intake only; move payment to a seller-owned route before any custom delivery.,structured_ready_forms.csv
2026-06-16 00:08:52 JST,central-ai-workflow-tracker-sprint,central_order_board,AI Workflow Tracker Sprint,service,$150,150.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/new?template=ready-to-pay-workflow-tracker-dashboard-starter.yml,https://jaxassistant55.github.io/workflow-tracker-dashboard-starter/inquiry.html,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter/issues/1,https://github.com/jaxassistant55/workflow-tracker-dashboard-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,"","","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","If a buyer appears, open the best buyer action URL, confirm safe scope, route payment externally, deliver after proof, and record only verified money.",order_boards.csv plus structured_ready_forms.csv
2026-06-16 00:08:52 JST,central-niche-quote-estimator,central_order_board,Niche Quote Estimator,service,$150,150.0,yes,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,Open structured ready-to-pay form,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://jaxassistant55.github.io/niche-quote-estimator-starter/inquiry.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,"","","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, accepted scope, seller-controlled external payment route, delivery proof, and posted/released/payable/cleared money.","If a buyer appears, open the best buyer action URL, confirm safe scope, route payment externally, deliver after proof, and record only verified money.",order_boards.csv plus structured_ready_forms.csv
2026-06-16 00:08:52 JST,standalone-niche-quote-estimator-starter,standalone_repo_ready_form,Niche Quote Estimator Starter,service,$150,150.0,yes,https://jaxassistant55.github.io/niche-quote-estimator-starter/,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,Open repo-specific structured form,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,https://jaxassistant55.github.io/niche-quote-estimator-starter/inquiry.html,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,https://github.com/jaxassistant55/niche-quote-estimator-starter,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,https://jaxassistant55.github.io/jax-micro-offer-studio/proof-monitor.html,"","","","Count $0 unless a real buyer accepts scope, pays through a user-controlled route, receives delivery, and payment is posted/released/payable/cleared.",0,"Real buyer, safe public inputs, accepted fixed scope, seller-controlled payment route, and proof before delivery.",Use the structured form as intake only; move payment to a seller-owned route before any custom delivery.,structured_ready_forms.csv
