updated_at_jst,file,changed,has_fastest,has_fastest_csv,has_payment_packets,has_payment_activation,has_proof_monitor
2026-06-18 21:35:02 JST,buyer-faq.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,buyer-intent-router.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,buyer-response-playbook.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,close-service-order.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,download-followup.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,github-leads.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,hot-download-close-local-seo-gbp-audit-starter.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,hot-download-close-pdf-table-extraction-starter.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,one-sale-payment-packets.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,one-sale-to-100.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,order-boards.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,order-now.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,paid-offer-action-catalog.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,payment-activation.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,pricing.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,products.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,proof-monitor.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-ai-workflow-tracker-sprint.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-automation-blueprint.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-client-intake-and-sop-package.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-content-repurposing-sprint.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-data-cleanup-sprint.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-local-seo-gbp-audit.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-niche-quote-estimator.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-pdf-table-extraction.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-resume-linkedin-interview-pack.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-signal-room.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-static-demo-site-customization.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-technical-docs-cleanup.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy-website-audit-microservice.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,ready-to-buy.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,services.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,share-kit.html,true,true,true,true,true,true
2026-06-18 21:35:02 JST,structured-ready-forms.html,true,true,true,true,true,true
