generated_at_jst,type,title,price,first_100_path,detail_url,issue_number,issue_url,state,comments,money_confirmed_usd
2026-06-16 15:23:03 JST,signal-room,Ready-To-Buy Signal Room,$100+ one-sale routes,Any verified paid $100+ route selected from the signal room can reach the first $100 before fees/refunds.,https://jaxassistant55.github.io/jax-micro-offer-studio/ready-to-buy-signal-room.html,29,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/29,open,0,0
2026-06-16 14:59:14 JST,route-board,Marketplace Listing Packets,$100-$200 one-sale routes,Any verified paid $100+ route selected from the 34 marketplace packets can reach the first $100 before fees/refunds.,https://jaxassistant55.github.io/jax-micro-offer-studio/marketplace-listing-packets.html,28,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/28,open,0,0
2026-06-11 17:23:48 JST,product,First $100 Product Bundle,$100,One paid product bundle transfer reaches $100 before fees/refunds.,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.html,25,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/25,open,0,0
2026-06-11 12:49:33 JST,service,First $100 Fast Start,$100,One paid fixed-scope starter reaches $100 before fees/refunds.,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start.html,24,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/24,open,0,0
2026-06-11 01:37:41 JST,service,Automation Blueprint,$100,One accepted workflow blueprint reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/automation-blueprint.html,2,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/2,open,0,0
2026-06-11 01:37:41 JST,service,Data Cleanup Sprint,$125,One authorized cleanup sprint clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/data-cleanup-sprint.html,3,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/3,open,0,0
2026-06-11 01:37:41 JST,service,Website Audit Microservice,$150,One accepted public-site audit clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-microservice.html,4,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/4,open,0,0
2026-06-11 01:37:41 JST,service,AI Workflow Tracker Sprint,$150,One fixed-price tracker order clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,5,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/5,open,0,0
2026-06-11 01:37:41 JST,service,Static Demo Site Customization,$200,One starter site clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,6,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/6,open,0,0
2026-06-11 01:37:41 JST,service,Niche Quote Estimator,$150,One custom estimator clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,7,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/7,open,0,0
