timestamp_jst,repo,title,price,type,form_file,form_url,local_repo_path,commit,repo_push_status,release_url,release_status,issue_url,issue_status,yaml_status,money_confirmed_usd
2026-06-11 13:41:06 JST,jaxassistant55/automation-blueprint-starter,Automation Blueprint Starter,$100,service,ready-to-pay-automation-blueprint-starter.yml,https://github.com/jaxassistant55/automation-blueprint-starter/issues/new?template=ready-to-pay-automation-blueprint-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/automation-blueprint-starter,40ccf61,committed_and_pushed,https://github.com/jaxassistant55/automation-blueprint-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/automation-blueprint-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/browser-extension-template-preview,Browser Extension Template Preview,$29,product,ready-to-pay-browser-extension-template-preview.yml,https://github.com/jaxassistant55/browser-extension-template-preview/issues/new?template=ready-to-pay-browser-extension-template-preview.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/browser-extension-template-preview,dcf74fc,committed_and_pushed,https://github.com/jaxassistant55/browser-extension-template-preview/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/browser-extension-template-preview/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/career-packet-starter,Career Packet Starter,$125,service,ready-to-pay-career-packet-starter.yml,https://github.com/jaxassistant55/career-packet-starter/issues/new?template=ready-to-pay-career-packet-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/career-packet-starter,b76e2b6,committed_and_pushed,https://github.com/jaxassistant55/career-packet-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/career-packet-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/client-intake-sop-starter,Client Intake SOP Starter,$125,service,ready-to-pay-client-intake-sop-starter.yml,https://github.com/jaxassistant55/client-intake-sop-starter/issues/new?template=ready-to-pay-client-intake-sop-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/client-intake-sop-starter,70a4aa6,committed_and_pushed,https://github.com/jaxassistant55/client-intake-sop-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/client-intake-sop-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/content-repurposing-sprint-starter,Content Repurposing Sprint Starter,$100,service,ready-to-pay-content-repurposing-sprint-starter.yml,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/new?template=ready-to-pay-content-repurposing-sprint-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/content-repurposing-sprint-starter,d0ce779,committed_and_pushed,https://github.com/jaxassistant55/content-repurposing-sprint-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/data-cleanup-sprint-starter,Data Cleanup Sprint Starter,$125,service,ready-to-pay-data-cleanup-sprint-starter.yml,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/new?template=ready-to-pay-data-cleanup-sprint-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/data-cleanup-sprint-starter,3aa5a5d,committed_and_pushed,https://github.com/jaxassistant55/data-cleanup-sprint-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/data-cleanup-sprint-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,$175,service,ready-to-pay-local-seo-gbp-audit.yml,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/local-seo-gbp-audit-starter,41bed77,committed_and_pushed,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/niche-quote-estimator-starter,Niche Quote Estimator Starter,$150,service,ready-to-pay-niche-quote-estimator-starter.yml,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/new?template=ready-to-pay-niche-quote-estimator-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/niche-quote-estimator-starter,585d7df,committed_and_pushed,https://github.com/jaxassistant55/niche-quote-estimator-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/niche-quote-estimator-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/pdf-table-extraction-starter,PDF Table Extraction Starter,$125,service,ready-to-pay-pdf-table-extraction.yml,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/pdf-table-extraction-starter,6624b73,committed_and_pushed,https://github.com/jaxassistant55/pdf-table-extraction-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,issue_updated,yaml_ok,0
2026-06-11 13:41:06 JST,jaxassistant55/resale-listing-research-starter,Resale Listing Research Starter,$100,service,ready-to-pay-resale-listing-research-starter.yml,https://github.com/jaxassistant55/resale-listing-research-starter/issues/new?template=ready-to-pay-resale-listing-research-starter.yml,/Users/jax/autonomous_earning_run_2026-06-09/github_lead_repos/resale-listing-research-starter,ccb37e0,committed_and_pushed,https://github.com/jaxassistant55/resale-listing-research-starter/releases/tag/preview-v1,release_updated,https://github.com/jaxassistant55/resale-listing-research-starter/issues/1,issue_updated,yaml_ok,0
